source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[organism]	factor value[growth phase]	factor value[HiRIEF pH range]
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr66	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	66	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	54	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	27	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Phaeobacter (Roseobacter) sp. MED193 multiplexed culture	Phaeobacter (Roseobacter) sp. MED193	cell culture	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	30	1	Rui_JPDM13-18_Marine-bact_TMT_200ug_IPG3-10_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Phaeobacter (Roseobacter) sp. MED193	not available	3-10
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	15	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	25	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Dokdonia sp. MED134 multiplexed culture	Dokdonia sp. MED134	cell culture	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Rui_JPDM07-12_Marine-bact_TMT_200ug_IPG3-10_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Dokdonia sp. MED134	not available	3-10
Neptuniibacter sp. MED92 multiplexed culture	Neptuniibacter sp. MED92	cell culture	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 6-plex;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=TMT 6-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	56	1	Rui_JPDM01-06_Marine-bact_TMT_200ug_IPG3-10_fr56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Neptuniibacter sp. MED92	not available	3-10
