source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
MP_LTD_SCR_2L	Homo sapiens	cell	keratinocyte	11	study sample	not available	cell	20200714_velos_RRJ_Bio_MP_LTD_SCR_2L_01.raw	proteomic profiling by mass spectrometry	01	20200714_velos_RRJ_Bio_MP_LTD_SCR_2L_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_3H	Homo sapiens	cell	keratinocyte	12	study sample	not available	cell	20200714_velos_RRJ_Bio_MP_LTD_SCR_3H_01.raw	proteomic profiling by mass spectrometry	01	20200714_velos_RRJ_Bio_MP_LTD_SCR_3H_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_3L	Homo sapiens	cell	keratinocyte	13	study sample	not available	cell	20200714_velos_RRJ_Bio_MP_LTD_SCR_3L_01.raw	proteomic profiling by mass spectrometry	01	20200714_velos_RRJ_Bio_MP_LTD_SCR_3L_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_4H	Homo sapiens	cell	keratinocyte	14	study sample	not available	cell	20200714_velos_RRJ_Bio_MP_LTD_SCR_4H_01.raw	proteomic profiling by mass spectrometry	01	20200714_velos_RRJ_Bio_MP_LTD_SCR_4H_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_4L	Homo sapiens	cell	keratinocyte	15	study sample	not available	cell	20200714_velos_RRJ_Bio_MP_LTD_SCR_4L_01.raw	proteomic profiling by mass spectrometry	01	20200714_velos_RRJ_Bio_MP_LTD_SCR_4L_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_29_3L	Homo sapiens	cell	keratinocyte	4	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_146_29_3L_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_146_29_3L_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_3	Homo sapiens	cell	keratinocyte	16	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_146_3_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_146_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_4	Homo sapiens	cell	keratinocyte	6	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_146_4_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_146_4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_1	Homo sapiens	cell	keratinocyte	7	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_29_1_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_29_1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_2	Homo sapiens	cell	keratinocyte	8	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_29_2_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_29_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_4	Homo sapiens	cell	keratinocyte	17	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_29_4_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_29_4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_1L	Homo sapiens	cell	keratinocyte	9	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_SCR_1L_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_SCR_1L_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_4H	Homo sapiens	cell	keratinocyte	14	study sample	not available	cell	20200716_velos_RRJ_Bio_MP_LTD_SCR_4H_02.raw	proteomic profiling by mass spectrometry	02	20200716_velos_RRJ_Bio_MP_LTD_SCR_4H_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_1	Homo sapiens	cell	keratinocyte	1	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_146_1_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_146_1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_29_1L	Homo sapiens	cell	keratinocyte	18	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_146_29_1L_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_146_29_1L_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_29_4H	Homo sapiens	cell	keratinocyte	5	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_146_29_4H_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_146_29_4H_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_29_4L	Homo sapiens	cell	keratinocyte	19	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_146_29_4L_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_146_29_4L_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_146_2	Homo sapiens	cell	keratinocyte	20	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_146_2_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_146_2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_1	Homo sapiens	cell	keratinocyte	7	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_29_1_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_29_1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_3	Homo sapiens	cell	keratinocyte	21	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_29_3_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_29_3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_29_4	Homo sapiens	cell	keratinocyte	17	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_29_4_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_29_4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_1L	Homo sapiens	cell	keratinocyte	9	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_SCR_1L_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_SCR_1L_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_2H	Homo sapiens	cell	keratinocyte	10	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_SCR_2H_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_SCR_2H_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_2L	Homo sapiens	cell	keratinocyte	11	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_SCR_2L_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_SCR_2L_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_LTD_SCR_4H	Homo sapiens	cell	keratinocyte	14	study sample	not available	cell	20200719_velos_RRJ_Bio_MP_LTD_SCR_4H_03.raw	proteomic profiling by mass spectrometry	03	20200719_velos_RRJ_Bio_MP_LTD_SCR_4H_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_1HTNF_P	Homo sapiens	cell	keratinocyte	22	study sample	not available	cell	20201208_velos_RRJ_Bio_MP_1HTNF_P_01.raw	proteomic profiling by mass spectrometry	01	20201208_velos_RRJ_Bio_MP_1HTNF_P_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_2HTNF_N	Homo sapiens	cell	keratinocyte	23	study sample	not available	cell	20201208_velos_RRJ_Bio_MP_2HTNF_N_01.raw	proteomic profiling by mass spectrometry	01	20201208_velos_RRJ_Bio_MP_2HTNF_N_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_2HTNF_N	Homo sapiens	cell	keratinocyte	23	study sample	not available	cell	20201208_velos_RRJ_Bio_MP_2HTNF_N_03.raw	proteomic profiling by mass spectrometry	03	20201208_velos_RRJ_Bio_MP_2HTNF_N_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_2HTNF_P	Homo sapiens	cell	keratinocyte	24	study sample	not available	cell	20201208_velos_RRJ_Bio_MP_2HTNF_P_02.raw	proteomic profiling by mass spectrometry	02	20201208_velos_RRJ_Bio_MP_2HTNF_P_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MP_3HTNF_N	Homo sapiens	cell	keratinocyte	25	study sample	not available	cell	20201208_velos_RRJ_Bio_MP_3HTNF_N_01.raw	proteomic profiling by mass spectrometry	01	20201208_velos_RRJ_Bio_MP_3HTNF_N_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
