source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[tumour type]	factor value[lab id]
GCH_002	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_002
GCH_003	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_003
GCH_004	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary - necrotic	GCH_004
GCH_007	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_007
GCH_009	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_009
GCH_010	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_010
GCH_012	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_012
GCH_014	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_014
GCH_015	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_015
GCH_016	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	6	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_016
GCH_002	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_002
GCH_003	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_003
GCH_004	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary - necrotic	GCH_004
GCH_007	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_007
GCH_009	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_009
GCH_010	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_010
GCH_012	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_012
GCH_014	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_014
GCH_015	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_015
GCH_016	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_016
GCH_002	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_002
GCH_003	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_003
GCH_004	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary - necrotic	GCH_004
GCH_007	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_007
GCH_009	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_009
GCH_010	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_010
GCH_012	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_012
GCH_014	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_014
GCH_015	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_015
GCH_016	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_016
GCH_002	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_002
GCH_003	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_003
GCH_004	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary - necrotic	GCH_004
GCH_007	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_007
GCH_009	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_009
GCH_010	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	recurrent	GCH_010
GCH_012	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_012
GCH_014	Homo sapiens	not available	glioblastoma	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	20200923_GBM_tumour_tissue__TMT10plex_HiRIEF_3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	primary	GCH_014
