source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment group]
S3 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S3_1_TMT_2_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S1_1_TMT_2_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 2	Homo sapiens	cell culture	U-2 OS	2	DMSO_2_TMT_2_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S3_2_TMT_2_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S1_2_TMT_2_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 3	Homo sapiens	cell culture	U-2 OS	3	DMSO_3_TMT_2_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S3_3_TMT_2_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S1_3_TMT_2_131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	250609_Phani_TMT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 1	Homo sapiens	cell culture	U-2 OS	1	DMSO_1_TMT_3_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S3_1_TMT_3_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S1_1_TMT_3_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 2	Homo sapiens	cell culture	U-2 OS	2	DMSO_2_TMT_3_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S3_2_TMT_3_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S1_2_TMT_3_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 3	Homo sapiens	cell culture	U-2 OS	3	DMSO_3_TMT_3_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S3_3_TMT_3_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S1_3_TMT_3_131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	250609_Phani_TMT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 1	Homo sapiens	cell culture	U-2 OS	1	DMSO_1_TMT_4_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S3_1_TMT_4_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S1_1_TMT_4_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 2	Homo sapiens	cell culture	U-2 OS	2	DMSO_2_TMT_4_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S3_2_TMT_4_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S1_2_TMT_4_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 3	Homo sapiens	cell culture	U-2 OS	3	DMSO_3_TMT_4_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S3_3_TMT_4_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 3	Homo sapiens	cell culture	U-2 OS	3	S1_3_TMT_4_131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	250609_Phani_TMT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 1	Homo sapiens	cell culture	U-2 OS	1	DMSO_1_TMT_5_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S3_1_TMT_5_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 1	Homo sapiens	cell culture	U-2 OS	1	S1_1_TMT_5_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
DMSO replicate 2	Homo sapiens	cell culture	U-2 OS	2	DMSO_2_TMT_5_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	DMSO
S3 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S3_2_TMT_5_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
S1 replicate 2	Homo sapiens	cell culture	U-2 OS	2	S1_2_TMT_5_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	250609_Phani_TMT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
