source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experiment subset]
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	9	1	Validation_Rep3_Frac9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	Validation_Rep2_Frac2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	Validation_Rep3_Frac2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Validation_Rep2_Frac1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Validation_Rep3_Frac1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	8	1	Validation_Rep3_Frac8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	Validation_Rep1_Frac3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	16	1	Validation_Rep2_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	13	1	Validation_Rep1_Frac13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	Validation_Rep3_Frac10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	9	1	Validation_Rep1_Frac9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	8	1	Validation_Rep2_Frac8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	14	1	Validation_Rep1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	14	1	Validation_Rep2_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	14	1	Validation_Rep3_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Validation_Rep3_Frac11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Validation_Rep1_Frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Validation_Rep3_Frac5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	Validation_Rep2_Frac6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	13	1	Validation_Rep3_Frac13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Validation_Rep3_Frac7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 2	Homo sapiens	lung	A549	lung adenocarcinoma	2	Validation_Rep2_Frac4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Validation_Rep2_Frac4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	Validation_Rep1_Frac6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Validation_Rep3_Frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 3	Homo sapiens	lung	A549	lung adenocarcinoma	3	Validation_Rep3_Frac15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	15	1	Validation_Rep3_Frac15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	Validation_Rep1_Frac4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Validation_Rep1_Frac5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
A549 ProTargetMiner validation replicate 1	Homo sapiens	lung	A549	lung adenocarcinoma	1	Validation_Rep1_Frac7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TMT 10-plex;AC=UNIMOD:737;TA=K,Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	Validation_Rep1_Frac7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	validation multiplex
