source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
mouse kidney_lfq_1440 LFQ run	Mus musculus	kidney_lfq_1440	1440	Mouse_Kidney_LFQ_1440	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Kidney_LFQ_1440.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse kidney_lfq_1338 LFQ run	Mus musculus	kidney_lfq_1338	1338	Mouse_Kidney_LFQ_1338	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Kidney_LFQ_1338.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse kidney_lfq_1441 LFQ run	Mus musculus	kidney_lfq_1441	1441	Mouse_Kidney_LFQ_1441	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Kidney_LFQ_1441.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse liver_lfq_1339 LFQ run	Mus musculus	liver_lfq_1339	1339	Mouse_Liver_LFQ_1339	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Liver_LFQ_1339.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse kidney_lfq_1340 LFQ run	Mus musculus	kidney_lfq_1340	1340	Mouse_Kidney_LFQ_1340	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Kidney_LFQ_1340.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse heart_lfq_1336 LFQ run	Mus musculus	heart_lfq_1336	1336	Mouse_Heart_LFQ_1336	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Heart_LFQ_1336.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse kidney_lfq_1339 LFQ run	Mus musculus	kidney_lfq_1339	1339	Mouse_Kidney_LFQ_1339	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Kidney_LFQ_1339.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse heart_lfq_1441 LFQ run	Mus musculus	heart_lfq_1441	1441	Mouse_Heart_LFQ_1441	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Heart_LFQ_1441.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse liver_lfq_1441 LFQ run	Mus musculus	liver_lfq_1441	1441	Mouse_Liver_LFQ_1441	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Liver_LFQ_1441.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
mouse heart_lfq_1339 LFQ run	Mus musculus	heart_lfq_1339	1339	Mouse_Heart_LFQ_1339	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Mouse_Heart_LFQ_1339.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
