source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[modification parameters]	factor value[minutes after touch stimulation]
T025-R3	Arabidopsis thaliana	whole plant	3	study sample	normal	whole organism	25 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T025_R3	proteomic profiling by mass spectrometry	1	T025_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	25 minute
T025-R4	Arabidopsis thaliana	whole plant	4	study sample	normal	whole organism	25 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T025_R4	proteomic profiling by mass spectrometry	1	T025_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	25 minute
T040-R1	Arabidopsis thaliana	whole plant	1	study sample	normal	whole organism	40 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T040_R1	proteomic profiling by mass spectrometry	1	T040_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	40 minute
T040-R2	Arabidopsis thaliana	whole plant	2	study sample	normal	whole organism	40 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T040_R2	proteomic profiling by mass spectrometry	1	T040_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	40 minute
T040-R3	Arabidopsis thaliana	whole plant	3	study sample	normal	whole organism	40 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T040_R3	proteomic profiling by mass spectrometry	1	T040_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	40 minute
T040-R4	Arabidopsis thaliana	whole plant	4	study sample	normal	whole organism	40 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T040_R4	proteomic profiling by mass spectrometry	1	T040_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	40 minute
T060-R1	Arabidopsis thaliana	whole plant	1	study sample	normal	whole organism	60 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T060_R1	proteomic profiling by mass spectrometry	1	T060_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	60 minute
T060-R2	Arabidopsis thaliana	whole plant	2	study sample	normal	whole organism	60 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T060_R2	proteomic profiling by mass spectrometry	1	T060_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	60 minute
T060-R3	Arabidopsis thaliana	whole plant	3	study sample	normal	whole organism	60 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T060_R3	proteomic profiling by mass spectrometry	1	T060_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	60 minute
T060-R4	Arabidopsis thaliana	whole plant	4	study sample	normal	whole organism	60 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T060_R4	proteomic profiling by mass spectrometry	1	T060_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	60 minute
T180-R1	Arabidopsis thaliana	whole plant	1	study sample	normal	whole organism	180 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T180_R1	proteomic profiling by mass spectrometry	1	T180_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	180 minute
T180-R2	Arabidopsis thaliana	whole plant	2	study sample	normal	whole organism	180 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T180_R2	proteomic profiling by mass spectrometry	1	T180_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	180 minute
T180-R3	Arabidopsis thaliana	whole plant	3	study sample	normal	whole organism	180 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T180_R3	proteomic profiling by mass spectrometry	1	T180_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	180 minute
T180-R4	Arabidopsis thaliana	whole plant	4	study sample	normal	whole organism	180 minute	water spray	seedling stage	myc2 pMYC2:MYC2-FLAG	T180_R4	proteomic profiling by mass spectrometry	1	T180_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Fixed	180 minute
