source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted experiment series]	factor value[gefitinib treatment]	factor value[HiRIEF pH range]
H322 subcellular fractionation	Homo sapiens	cell culture	H322	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	41	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49	untreated control	3.7-4.9
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr67	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	67	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	26	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul	gefitinib	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	25	1	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_ctrl_HF1_20160617_TMT_IPG37-49	untreated control	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr62_160131003855	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	2	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr62_160131003855.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	22	1	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827_gef_QE1_20160607_TMT10_IPG3-10_7of15ul	gefitinib	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	46	2	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul	gefitinib	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr67	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	67	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
U251 subcellular fractionation	Homo sapiens	cell culture	U251	1	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49_fr47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	47	1	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49_fr47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVSC_HF1_20160219_SUBCELL_U251_TMT_IPG37-49	not available	3.7-4.9
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr62	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	62	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul	not available	3.7-4.9
