source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]
pooled standard replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_H9_15_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	15	1	20190917_ESC_EB_hFF_H9_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_13_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	13	1	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_13_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	13	1	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_13_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	13	1	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_13_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_13_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_13_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_13_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_13_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_13_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
pooled standard replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_13_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	13	2	20190917_ESC_EB_hFF_980_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_16_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	16	1	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_16_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	16	1	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_16_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	16	1	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_16_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_16_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_16_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_16_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_16_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_16_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
pooled standard replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_16_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	16	2	20190917_ESC_EB_hFF_980_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_15_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	15	1	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_15_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	15	1	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
H9-80 replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_15_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	15	1	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_15_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_15_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
embryoid body replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_15_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_15_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 2	Homo sapiens	cell culture	2	20190917_ESC_EB_hFF_980_15_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
HFF replicate 3	Homo sapiens	cell culture	3	20190917_ESC_EB_hFF_980_15_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
pooled standard replicate 1	Homo sapiens	cell culture	1	20190917_ESC_EB_hFF_980_15_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	15	2	20190917_ESC_EB_hFF_980_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
