source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]
MKL1_ExoPro	Homo sapiens	cell culture	1	151109_AKonstantinell_ExoPro_MKL1_A	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL1_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL1_ExoPro	Homo sapiens	cell culture	2	151109_AKonstantinell_ExoPro_MKL1_B	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL1_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL1_ExoPro	Homo sapiens	cell culture	3	151109_AKonstantinell_ExoPro_MKL1_C	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL1_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPro	Homo sapiens	cell culture	1	151109_AKonstantinell_ExoPro_MKL2_A	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL2_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPro	Homo sapiens	cell culture	2	151109_AKonstantinell_ExoPro_MKL2_B	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPro	Homo sapiens	cell culture	3	151109_AKonstantinell_ExoPro_MKL2_C	proteomic profiling by mass spectrometry	1	151109_AKonstantinell_ExoPro_MKL2_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC13_ExoPep	Homo sapiens	cell culture	1	151113_AKonstantinell_ExoPep_MCC13_A	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC13_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC13_ExoPep	Homo sapiens	cell culture	2	151113_AKonstantinell_ExoPep_MCC13_B	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC13_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC13_ExoPep	Homo sapiens	cell culture	3	151113_AKonstantinell_ExoPep_MCC13_C	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC13_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC26_ExoPep	Homo sapiens	cell culture	1	151113_AKonstantinell_ExoPep_MCC26_A	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC26_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC26_ExoPep	Homo sapiens	cell culture	2	151113_AKonstantinell_ExoPep_MCC26_B	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC26_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MCC26_ExoPep	Homo sapiens	cell culture	3	151113_AKonstantinell_ExoPep_MCC26_C	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MCC26_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL1_ExoPep	Homo sapiens	cell culture	1	151113_AKonstantinell_ExoPep_MKL1_A	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL1_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL1_ExoPep	Homo sapiens	cell culture	2	151113_AKonstantinell_ExoPep_MKL1_B	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL1_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL1_ExoPep	Homo sapiens	cell culture	3	151113_AKonstantinell_ExoPep_MKL1_C	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL1_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPep	Homo sapiens	cell culture	1	151113_AKonstantinell_ExoPep_MKL2_A	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL2_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPep	Homo sapiens	cell culture	2	151113_AKonstantinell_ExoPep_MKL2_B	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
MKL2_ExoPep	Homo sapiens	cell culture	3	151113_AKonstantinell_ExoPep_MKL2_C	proteomic profiling by mass spectrometry	1	151113_AKonstantinell_ExoPep_MKL2_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable
