source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD047899-LGK_TBX3_WT_3	Homo sapiens	cell culture	13	not available	TBX3 wild type	HEK293T	CVCL_0063	HEK293T	LGK_TBX3_WT_3	proteomic profiling by mass spectrometry	1	LGK_TBX3_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TBX3 wild type
PXD047899-CHIR_TBX3_WT_3	Homo sapiens	cell culture	14	not available	TBX3 wild type	HEK293T	CVCL_0063	HEK293T	CHIR_TBX3_WT_3	proteomic profiling by mass spectrometry	1	CHIR_TBX3_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	TBX3 wild type
PXD047899-CHIR_dNPF_3	Homo sapiens	cell culture	15	not available	dNPF	HEK293T	CVCL_0063	HEK293T	CHIR_dNPF_3	proteomic profiling by mass spectrometry	1	CHIR_dNPF_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	dNPF
PXD047899-LGK_dRRM_1	Homo sapiens	cell culture	16	not available	dRRM	HEK293T	CVCL_0063	HEK293T	LGK_dRRM_1	proteomic profiling by mass spectrometry	1	LGK_dRRM_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	dRRM
PXD047899-CHIR_dNPF_1	Homo sapiens	cell culture	17	not available	dNPF	HEK293T	CVCL_0063	HEK293T	CHIR_dNPF_1	proteomic profiling by mass spectrometry	1	CHIR_dNPF_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	dNPF
PXD047899-CHIR_Ctrl_BirA_3	Homo sapiens	cell culture	18	not available	not available	HEK293T	CVCL_0063	HEK293T	CHIR_Ctrl_BirA_3	proteomic profiling by mass spectrometry	1	CHIR_Ctrl_BirA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	not available
PXD047899-LGK_Ctrl_BirA_2	Homo sapiens	cell culture	19	not available	not available	HEK293T	CVCL_0063	HEK293T	LGK_Ctrl_BirA_2	proteomic profiling by mass spectrometry	1	LGK_Ctrl_BirA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	not available
PXD047899-LGK_Ctrl_BirA_1	Homo sapiens	cell culture	20	not available	not available	HEK293T	CVCL_0063	HEK293T	LGK_Ctrl_BirA_1	proteomic profiling by mass spectrometry	1	LGK_Ctrl_BirA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	not available
PXD047899-LGK_dNPF_1	Homo sapiens	cell culture	21	not available	dNPF	HEK293T	CVCL_0063	HEK293T	LGK_dNPF_1	proteomic profiling by mass spectrometry	1	LGK_dNPF_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	dNPF
PXD047899-LGK_dRRM_2	Homo sapiens	cell culture	22	not available	dRRM	HEK293T	CVCL_0063	HEK293T	LGK_dRRM_2	proteomic profiling by mass spectrometry	1	LGK_dRRM_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	dRRM
PXD047899-CHIR_Ctrl_BirA_2	Homo sapiens	cell culture	23	not available	not available	HEK293T	CVCL_0063	HEK293T	CHIR_Ctrl_BirA_2	proteomic profiling by mass spectrometry	1	CHIR_Ctrl_BirA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	not available
PXD047899-LGK_Ctrl_BirA_3	Homo sapiens	cell culture	24	not available	not available	HEK293T	CVCL_0063	HEK293T	LGK_Ctrl_BirA_3	proteomic profiling by mass spectrometry	1	LGK_Ctrl_BirA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	not available
