source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
D492_rep1_fraction2_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	phospho-enriched cell lysate	D492_rep1_fraction2_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	2	1	OR-1-2-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction2_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	phospho-enriched cell lysate	D492HER2_rep1_fraction2_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	2	1	OR-1-2-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction3_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	cell lysate	D492M_rep1_fraction3_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction3_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	cell lysate	D492_rep1_fraction3_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction3_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	cell lysate	D492HER2_rep1_fraction3_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction3_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	phospho-enriched cell lysate	D492M_rep1_fraction3_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction3_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	phospho-enriched cell lysate	D492_rep1_fraction3_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction3_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	phospho-enriched cell lysate	D492HER2_rep1_fraction3_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	3	1	OR-1-3-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction4_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	cell lysate	D492M_rep1_fraction4_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction4_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	cell lysate	D492_rep1_fraction4_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction4_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	cell lysate	D492HER2_rep1_fraction4_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction4_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	phospho-enriched cell lysate	D492M_rep1_fraction4_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction4_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	phospho-enriched cell lysate	D492_rep1_fraction4_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction4_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	phospho-enriched cell lysate	D492HER2_rep1_fraction4_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	4	1	OR-1-4-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction5_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	cell lysate	D492M_rep1_fraction5_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	5	1	OR-1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction5_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	cell lysate	D492_rep1_fraction5_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	5	1	OR-1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
D492HER2_rep1_fraction5_total	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492HER2	not available	not available	1	cell lysate	D492HER2_rep1_fraction5_total	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	5	1	OR-1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492HER2
D492M_rep1_fraction5_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492M	not available	not available	1	phospho-enriched cell lysate	D492M_rep1_fraction5_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	5	1	OR-1-5-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492M
D492_rep1_fraction5_phospho	Homo sapiens	breast epithelium	permanent cell line cell	breast cancer	D492	not available	not available	1	phospho-enriched cell lysate	D492_rep1_fraction5_phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC medium	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Label:13C(6);AC=UNIMOD:188;TA=R;MT=Variable	NT=Label:13C(4);AC=UNIMOD:584;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	5	1	OR-1-5-phos.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	D492
